parCodigo,parSiglas,parDenominacion,parColor,rowid
3540,LISTA G FRACH            ,LISTA G FRACH                                                                                       ,66E1E1,433
3541,LISTA A PARTICIPACION PAR,LISTA A PARTICIPACION PARA LA TRANSPARENCIA                                                         ,F6532A,434
3542,LISTA MS IGUALDAD Y DECEN,LISTA MS IGUALDAD Y DECENCIA                                                                        ,B37777,435
3550,LISTA CREO               ,LISTA CREO                                                                                          ,7DB83C,436
3551,MOVIMIENTO NACIONAL ALFON,MOVIMIENTO NACIONAL ALFONSINISTA                                                                    ,15CCE1,437
3552,LISTA A.CELESTE UNIDAD   ,LISTA A.CELESTE UNIDAD                                                                              ,696900,438
3553,LISTA A EL CAMINO DEL CAM,LISTA A EL CAMINO DEL CAMBIO                                                                        ,2A005D,439
3554,LISTA C EL PODER DE LA UN,LISTA C                                                                                             ,1C3F3F,440
3555,LISTA 9                  ,LISTA 9                                                                                             ,360C46,441
3556,LISTA 30                 ,LISTA 30                                                                                            ,BF1A3F,442
3557,LISTA 77                 ,LISTA 77                                                                                            ,7D6187,443
3558,LISTA 1A                 ,LISTA 1A                                                                                            ,7E7E33,444
3559,LISTA VECINALISTAS DE PIE,LISTA VECINALISTAS DE PIE                                                                           ,F6332A,445
3560,LISTA A                  ,LISTA A                                                                                             ,99152F,446
3561,LISTA UNICA              ,LISTA UNICA                                                                                         ,D110E9,447
3562,LISTA CANPO              ,LISTA CANPO                                                                                         ,094509,448
3563,LISTA C DESCAMISADOS SL  ,LISTA C DESCAMISADOS SL                                                                             ,EBE1F9,449
3564,LISTA CONFLUENCIA NARANJA,LISTA CONFLUENCIA NARANJA                                                                           ,F62705,450
3565,LISTA MAS SAN LUIS       ,LISTA MAS SAN LUIS                                                                                  ,1ACECD,451
3566,LISTA NUEVO ENCUENTRO    ,LISTA NUEVO ENCUENTRO                                                                               ,E69DA4,452
